name,location,body_type,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
2023 Maruti BREZZA ZXI SMART HYBRID,Ghaziabad,SUV,2023,18693,Petrol,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,1146000.0
2018 Maruti Wagon R 1.0 VXI,Faridabad,Hatchback,2018,92102,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,386000.0
2022 Maruti Celerio VXI CNG,Delhi,Hatchback,2022,48731,CNG,Manual,1,25.0,998.0,66.0,5.0,700000.0,637000.0
2013 Maruti Alto 800 LXI,Gurugram,Hatchback,2013,56113,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,219000.0
2020 Maruti Dzire ZXI PLUS AMT,Noida,Sedan,2020,32142,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,790000.0
2022 Maruti BREZZA ZXI SMART HYBRID,Ghaziabad,SUV,2022,23690,Petrol,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,1091000.0
2016 Maruti Celerio VXI AMT,Faridabad,Hatchback,2016,32899,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,385000.0
2018 Maruti Baleno ALPHA CVT PETROL 1.2,Delhi,Hatchback,2018,43363,Petrol,Automatic,1,22.3,1197.0,89.0,5.0,900000.0,670000.0
2019 Maruti Alto K10 VXI,Gurugram,Hatchback,2019,47066,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,336000.0
2019 Maruti Ciaz DELTA AT 1.5 SHVS PETROL,Noida,Sedan,2019,55281,Petrol,Automatic,1,20.0,1462.0,103.0,5.0,1100000.0,717000.0
2022 Maruti Baleno ALPHA PETROL 1.2,Ghaziabad,Hatchback,2022,31283,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,858000.0
2014 Maruti Swift ZXI,Faridabad,Hatchback,2014,48194,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,470000.0
2016 Maruti Swift VDI,Delhi,Hatchback,2016,61992,Diesel,Manual,1,22.0,1197.0,88.0,5.0,850000.0,517000.0
2020 Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Gurugram,Sedan,2020,50172,Petrol,Manual,1,20.0,1462.0,103.0,5.0,1100000.0,755000.0
2020 Maruti IGNIS DELTA 1.2,Noida,Hatchback,2020,77633,Petrol,Manual,1,20.9,1197.0,82.0,5.0,800000.0,512000.0
2019 Maruti Baleno ZETA PETROL 1.2,Ghaziabad,Hatchback,2019,31968,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,682000.0
2016 Maruti Alto K10 VXI AMT,Faridabad,Hatchback,2016,85292,Petrol,Automatic,1,24.0,998.0,66.0,5.0,600000.0,317000.0
2019 Maruti Alto LXI,Delhi,Hatchback,2019,31475,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,326000.0
2017 Maruti Alto 800 VXI O,Gurugram,Hatchback,2017,92881,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,264000.0
2022 Maruti Baleno ZETA PETROL 1.2,Noida,Hatchback,2022,33086,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,780000.0
2014 Maruti Alto 800 LXI,Ghaziabad,Hatchback,2014,92533,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,230000.0
2021 Maruti Dzire VXI AMT,Faridabad,Sedan,2021,49950,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,745000.0
2017 Maruti IGNIS DELTA 1.2,Delhi,Hatchback,2017,85064,Petrol,Manual,1,20.9,1197.0,82.0,5.0,800000.0,419000.0
2016 Maruti Celerio VXI AMT,Gurugram,Hatchback,2016,69973,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,386000.0
2017 Maruti IGNIS DELTA 1.2,Noida,Hatchback,2017,77579,Petrol,Manual,2,20.9,1197.0,82.0,5.0,800000.0,429000.0
2019 Maruti Baleno ALPHA PETROL 1.2,Ghaziabad,Hatchback,2019,73813,Petrol,Manual,2,22.3,1197.0,89.0,5.0,900000.0,629000.0
2018 Maruti Celerio VXI AMT (O),Faridabad,Hatchback,2018,69185,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,425000.0
2014 Maruti Swift Dzire VXI,Delhi,Hatchback,2014,62067,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,451000.0
2012 Maruti Swift VXI,Gurugram,Hatchback,2012,71115,Petrol,Manual,3,22.0,1197.0,88.0,5.0,850000.0,331000.0
2020 Maruti Dzire ZXI AMT,Noida,Sedan,2020,15435,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,728000.0
2017 Maruti Ciaz ZETA DIESEL 1.3,Ghaziabad,Sedan,2017,101069,Diesel,Manual,2,20.0,1462.0,103.0,5.0,1100000.0,692000.0
2020 Maruti Celerio VXI (O),Faridabad,Hatchback,2020,28358,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,475000.0
2019 Maruti Baleno ZETA CVT PETROL 1.2,Delhi,Hatchback,2019,11957,Petrol,Automatic,2,22.3,1197.0,89.0,5.0,900000.0,714000.0
2013 Maruti Alto 800 LXI,Gurugram,Hatchback,2013,48658,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,219000.0
2015 Maruti Wagon R 1.0 VXI,Noida,Hatchback,2015,90358,Petrol,Manual,3,22.0,1197.0,88.0,5.0,750000.0,280000.0
2011 Maruti Alto K10 VXI,Ghaziabad,Hatchback,2011,72134,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,190000.0
2020 Maruti Alto LXI,Faridabad,Hatchback,2020,13485,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,358000.0
2015 Maruti Wagon R 1.0 VXI,Delhi,Hatchback,2015,43791,Petrol,Manual,3,22.0,1197.0,88.0,5.0,750000.0,320000.0
2015 Maruti Celerio ZXI AMT,Gurugram,Hatchback,2015,75112,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,400000.0
2018 Maruti Ciaz ALPHA 1.4 PETROL,Noida,Sedan,2018,98119,Petrol,Manual,1,20.0,1462.0,103.0,5.0,1100000.0,657000.0
2022 Maruti Dzire VXI AMT,Ghaziabad,Sedan,2022,52707,Petrol,Automatic,2,23.0,1197.0,89.0,5.0,900000.0,706000.0
2014 Maruti Swift Dzire VXI,Faridabad,Hatchback,2014,55835,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,462000.0
2020 Maruti Celerio ZXI AMT,Delhi,Hatchback,2020,47616,Petrol,Automatic,2,25.0,998.0,66.0,5.0,700000.0,530000.0
2017 Maruti IGNIS DELTA 1.2,Gurugram,Hatchback,2017,70873,Petrol,Manual,1,20.9,1197.0,82.0,5.0,800000.0,435000.0
2020 Maruti New Wagon-R ZXI 1.2,Noida,Other,2020,66966,Petrol,Manual,1,,,,,,509000.0
2016 Maruti Wagon R 1.0 VXI,Ghaziabad,Hatchback,2016,63813,Petrol,Manual,2,22.0,1197.0,88.0,5.0,750000.0,336000.0
2013 Maruti Alto K10 VXI,Faridabad,Hatchback,2013,70050,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,231000.0
2019 Maruti Celerio X ZXI AMT,Delhi,Hatchback,2019,52328,Petrol,Automatic,1,25.0,998.0,66.0,5.0,700000.0,514000.0
2018 Maruti Celerio ZXI (O),Gurugram,Hatchback,2018,99649,Petrol,Manual,1,25.0,998.0,66.0,5.0,700000.0,415000.0
2015 Maruti Wagon R 1.0 VXI,Noida,Hatchback,2015,29956,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,375000.0
